======================================================
--- QAT SAMPLE COMPARISON EVAL (Dynamic Beats) ---
======================================================
--- Per-Beat Results ---
Beat 01 | Idx:     24 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 02 | Idx:  31579 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 03 | Idx:  38786 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 04 | Idx:  42811 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 05 | Idx:   3697 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 06 | Idx:  37629 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 07 | Idx:   6118 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 08 | Idx:  18759 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 09 | Idx:   3273 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 10 | Idx:  21048 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 11 | Idx:   4907 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 12 | Idx:  50554 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 13 | Idx:   5992 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 14 | Idx:   8534 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 15 | Idx:  29190 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 16 | Idx:  32236 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 17 | Idx:   8971 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 18 | Idx:   1283 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 19 | Idx:  30773 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 20 | Idx:  25908 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 21 | Idx:  25720 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 22 | Idx:  27578 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 23 | Idx:  18836 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 24 | Idx:  19180 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 25 | Idx:  13724 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 26 | Idx:    797 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 27 | Idx:  15826 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 28 | Idx:  37340 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 29 | Idx:  15245 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 30 | Idx:  23283 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 31 | Idx:  39672 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 32 | Idx:  33147 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 33 | Idx:  38853 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 34 | Idx:  31852 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 35 | Idx:    576 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 36 | Idx:  32312 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 37 | Idx:  49411 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 38 | Idx:  47298 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 39 | Idx:   5263 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 40 | Idx:   5246 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 41 | Idx:  36905 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 42 | Idx:  10615 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 43 | Idx:  34982 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 44 | Idx:   1204 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 45 | Idx:   8201 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 46 | Idx:   3934 | Truth: Normal  | Pred: Normal  | Normal [OK]
