=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.24 20:55:52 =~=~=~=~=~=~=~=~=~=~=~=

======================================================
   Wearable ECG Edge-AI Hardware Accelerator (Zynq)   
======================================================

DS2 Dataset Loaded
Total DS2 Beats: 51170

Randomly Selected 200 DS2 Beats:
Beat 1 -> Dataset Index: 50381
Beat 2 -> Dataset Index: 5358
Beat 3 -> Dataset Index: 39729
Beat 4 -> Dataset Index: 1762
Beat 5 -> Dataset Index: 20728
Beat 6 -> Dataset Index: 48146
Beat 7 -> Dataset Index: 32660
Beat 8 -> Dataset Index: 11855
Beat 9 -> Dataset Index: 2900
Beat 10 -> Dataset Index: 2059
Beat 11 -> Dataset Index: 27372
Beat 12 -> Dataset Index: 39281
Beat 13 -> Dataset Index: 31478
Beat 14 -> Dataset Index: 19165
Beat 15 -> Dataset Index: 49341
Beat 16 -> Dataset Index: 46399
Beat 17 -> Dataset Index: 8475
Beat 18 -> Dataset Index: 30688
Beat 19 -> Dataset Index: 26872
Beat 20 -> Dataset Index: 6269
Beat 21 -> Dataset Index: 23420
Beat 22 -> Dataset Index: 43805
Beat 23 -> Dataset Index: 47370
Beat 24 -> Dataset Index: 21932
Beat 25 -> Dataset Index: 35402
Beat 26 -> Dataset Index: 22423
Beat 27 -> Dataset Index: 25237
Beat 28 -> Dataset Index: 11271
Beat 29 -> Dataset Index: 4131
Beat 30 -> Dataset Index: 12090
Beat 31 -> Dataset Index: 39745
Beat 32 -> Dataset Index: 39684
Beat 33 -> Dataset Index: 37803
Beat 34 -> Dataset Index: 48835
Beat 35 -> Dataset Index: 14334
Beat 36 -> Dataset Index: 13315
Beat 37 -> Dataset Index: 18720
Beat 38 -> Dataset Index: 44922
Beat 39 -> Dataset Index: 38717
Beat 40 -> Dataset Index: 12341
Beat 41 -> Dataset Index: 34195
Beat 42 -> Dataset Index: 12628
Beat 43 -> Dataset Index: 7607
Beat 44 -> Dataset Index: 28041
Beat 45 -> Dataset Index: 1718
Beat 46 -> Dataset Index: 7537
Beat 47 -> Dataset Index: 37130
Beat 48 -> Dataset Index: 43137
Beat 49 -> Dataset Index: 37760
Beat 50 -> Dataset Index: 19695
Beat 51 -> Dataset Index: 13462
Beat 52 -> Dataset Index: 25567
Beat 53 -> Dataset Index: 27614
Beat 54 -> Dataset Index: 25716
Beat 55 -> Dataset Index: 34931
Beat 56 -> Dataset Index: 29449
Beat 57 -> Dataset Index: 25941
Beat 58 -> Dataset Index: 47494
Beat 59 -> Dataset Index: 13523
Beat 60 -> Dataset Index: 3853
Beat 61 -> Dataset Index: 20165
Beat 62 -> Dataset Index: 41440
Beat 63 -> Dataset Index: 35980
Beat 64 -> Dataset Index: 50140
Beat 65 -> Dataset Index: 14612
Beat 66 -> Dataset Index: 4679
Beat 67 -> Dataset Index: 19691
Beat 68 -> Dataset Index: 45635
Beat 69 -> Dataset Index: 15415
Beat 70 -> Dataset Index: 38621
Beat 71 -> Dataset Index: 32233
Beat 72 -> Dataset Index: 27361
Beat 73 -> Dataset Index: 45555
Beat 74 -> Dataset Index: 39908
Beat 75 -> Dataset Index: 43654
Beat 76 -> Dataset Index: 47444
