======================================================
--- QAT SAMPLE COMPARISON EVAL (Dynamic Beats) ---
======================================================
--- Per-Beat Results ---
Beat 01 | Idx:  50381 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 02 | Idx:   5358 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 03 | Idx:  39729 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 04 | Idx:   1762 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 05 | Idx:  20728 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 06 | Idx:  48146 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 07 | Idx:  32660 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 08 | Idx:  11855 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 09 | Idx:   2900 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 10 | Idx:   2059 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 11 | Idx:  27372 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 12 | Idx:  39281 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 13 | Idx:  31478 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 14 | Idx:  19165 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 15 | Idx:  49341 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 16 | Idx:  46399 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 17 | Idx:   8475 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 18 | Idx:  30688 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 19 | Idx:  26872 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 20 | Idx:   6269 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 21 | Idx:  23420 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 22 | Idx:  43805 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 23 | Idx:  47370 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 24 | Idx:  21932 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 25 | Idx:  35402 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 26 | Idx:  22423 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 27 | Idx:  25237 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 28 | Idx:  11271 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 29 | Idx:   4131 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 30 | Idx:  12090 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 31 | Idx:  39745 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 32 | Idx:  39684 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 33 | Idx:  37803 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 34 | Idx:  48835 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 35 | Idx:  14334 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 36 | Idx:  13315 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 37 | Idx:  18720 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 38 | Idx:  44922 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 39 | Idx:  38717 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 40 | Idx:  12341 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 41 | Idx:  34195 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 42 | Idx:  12628 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 43 | Idx:   7607 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 44 | Idx:  28041 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 45 | Idx:   1718 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 46 | Idx:   7537 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 47 | Idx:  37130 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 48 | Idx:  43137 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 49 | Idx:  37760 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 50 | Idx:  19695 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 51 | Idx:  13462 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 52 | Idx:  25567 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 53 | Idx:  27614 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 54 | Idx:  25716 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 55 | Idx:  34931 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 56 | Idx:  29449 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 57 | Idx:  25941 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 58 | Idx:  47494 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 59 | Idx:  13523 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 60 | Idx:   3853 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 61 | Idx:  20165 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 62 | Idx:  41440 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 63 | Idx:  35980 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 64 | Idx:  50140 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 65 | Idx:  14612 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 66 | Idx:   4679 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 67 | Idx:  19691 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 68 | Idx:  45635 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 69 | Idx:  15415 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 70 | Idx:  38621 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 71 | Idx:  32233 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 72 | Idx:  27361 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 73 | Idx:  45555 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 74 | Idx:  39908 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 75 | Idx:  43654 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 76 | Idx:  47444 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 77 | Idx:  13839 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 78 | Idx:  30049 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 79 | Idx:  41244 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 80 | Idx:  24944 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 81 | Idx:  13361 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 82 | Idx:  12258 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 83 | Idx:  21927 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 84 | Idx:  44383 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 85 | Idx:  11753 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 86 | Idx:  26220 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 87 | Idx:  36186 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 88 | Idx:  32938 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 89 | Idx:  16953 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 90 | Idx:   8563 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 91 | Idx:  38408 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 92 | Idx:  48992 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 93 | Idx:   8859 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 94 | Idx:  11701 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 95 | Idx:  22075 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 96 | Idx:  40785 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 97 | Idx:  17812 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 98 | Idx:  34684 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 99 | Idx:  21509 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 100 | Idx:  31096 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 101 | Idx:  21462 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 102 | Idx:  17349 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 103 | Idx:  35338 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 104 | Idx:  17550 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!] 
Beat 105 | Idx:   8240 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 106 | Idx:   1858 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 107 | Idx:  10011 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 108 | Idx:  12764 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 109 | Idx:   3282 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 110 | Idx:  47805 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 111 | Idx:   4303 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 112 | Idx:   5098 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 113 | Idx:  11110 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 114 | Idx:  25762 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 115 | Idx:   2404 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 116 | Idx:   8336 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 117 | Idx:  29776 | Truth: Normal  | Pred: Anomaly | False Alarm [X] (Predicted Anomaly on Normal Beat)
Beat 118 | Idx:  50578 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 119 | Idx:  28935 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 120 | Idx:  20703 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 121 | Idx:  39615 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 122 | Idx:  30615 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 123 | Idx:  35497 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 124 | Idx:  46260 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 125 | Idx:  15694 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 126 | Idx:  34709 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 127 | Idx:  18783 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 128 | Idx:  30420 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 129 | Idx:  33780 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 130 | Idx:  22082 | Truth: Anomaly | Pred: Normal  | MISSED ANOMALY [X] (Predicted Normal on Arrhythmia!)
Beat 131 | Idx:  36596 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 132 | Idx:   5334 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 133 | Idx:  49163 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 134 | Idx:  38113 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 135 | Idx:  43390 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 136 | Idx:  40143 | Truth: Anomaly | Pred: Anomaly | Anomaly Caught [!]
Beat 137 | Idx:  10926 | Truth: Normal  | Pred: Normal  | Normal [OK] 
Beat 138 | Idx:  15237 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 139 | Idx:  13601 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 140 | Idx:    715 | Truth: Normal  | Pred: Normal  | Normal [OK]
Beat 141 | Idx:  25939 | Truth: Normal  | Pred: Normal  | Normal [OK]
